property_id,host_id,guest_id,total_listings,availability,neighbourhood,type,price,amenities,booked_nights,stay_nights,propery_reviews,last_review,complaint
557946,470827,680925,1,42,Westerpark,Entire home,377,[Towels; Wifi; Bed linens; Kitchen; Smoke alarm; Heating; Hot water; Hangers; Dishes and silverware; Long term stays allowed; Refrigerator; Coffee maker; Shampoo; Iron; Cooking basics; Washer; Carbon monoxide alarm; Fire extinguisher; Oven; Microwave; TV; Cleaning products; Dedicated workspace; Hot water kettle; Freezer; Body soap; Drying rack for clothing; Nespresso machine; Central heating; Clothing storage; Game console; ],2,2,4,21--May--2022,0
558152,417330,706748,8,297,De Baarsjes - Oud-West,Private room,661,[Towels; Wifi; Kitchen; Heating; Long term stays allowed; Shampoo; Washer; TV; Dryer; Dedicated workspace; Air conditioning; ],1,1,4,18--April--2022,0
558158,300061,655552,8,345,De Baarsjes - Oud-West,Private room,266,[Towels; Wifi; Heating; Hair dryer; Long term stays allowed; Shampoo; TV; Dryer; Dedicated workspace; Air conditioning; Elevator; ],1,1,25,19--May--2022,0
558393,440364,584785,2,199,Noord-Oost,Entire home,18,[Wifi; Kitchen; Smoke alarm; Hangers; Long term stays allowed; Washer; Private entrance; Dishwasher; TV; Patio or balcony; ],1,1,3,27--May--2022,0
558661,369267,627845,5,86,Centrum-West,Entire home,281,[Towels; Wifi; Bed linens; Smoke alarm; Heating; Hot water; Hair dryer; Hangers; Dishes and silverware; Long term stays allowed; Refrigerator; Coffee maker; Shampoo; Iron; Washer; Carbon monoxide alarm; Fire extinguisher; First aid kit; Private entrance; TV; Extra pillows and blankets; Dryer; Luggage dropoff allowed; Shower gel; Cleaning products; Dedicated workspace; Dining table; Wine glasses; Hot water kettle; Outdoor furniture; Bathtub; Body soap; Drying rack for clothing; Outdoor dining area; Air conditioning; Nespresso machine; Central heating; Conditioner; Security cameras; Mini fridge; Clothing storage; Bikes; Netflix; Building staff; Game console; Sound system; Paid washer; ],1,1,20,1--June--2022,0
558713,332694,608342,3,212,Noord-West,Private room,126,[Towels; Wifi; Bed linens; Smoke alarm; Heating; Hot water; Hair dryer; Hangers; Dishes and silverware; Coffee maker; Shampoo; Iron; Washer; Carbon monoxide alarm; Fire extinguisher; First aid kit; Microwave; Extra pillows and blankets; Dryer; Luggage dropoff allowed; Shower gel; Cleaning products; Dedicated workspace; Dining table; Wine glasses; Hot water kettle; Room-darkening shades; Body soap; Lock on bedroom door; Single level home; Lockbox; Free parking on premises; Portable fans; Free street parking; Ethernet connection; Nespresso machine; Central heating; Conditioner; Board games; EV charger; Mini fridge; Clothing storage; Cleaning before checkout; Bikes; Paid washer; ],1,1,1,17--April--2022,0
559191,391283,502634,1,137,De Baarsjes - Oud-West,Entire home,256,[Wifi; Kitchen; Smoke alarm; Hair dryer; Long term stays allowed; Iron; Washer; Carbon monoxide alarm; Fire extinguisher; First aid kit; TV; Dryer; Dedicated workspace; ],3,3,2,20--January--2022,0
559404,223721,666590,1,35,Buitenveldert - Zuidas,Entire home,250,[Towels; Wifi; Bed linens; Kitchen; Smoke alarm; Heating; Hot water; Hair dryer; Dishes and silverware; Refrigerator; Coffee maker; Shampoo; Iron; Cooking basics; Washer; Carbon monoxide alarm; Fire extinguisher; Oven; Dishwasher; Microwave; Stove; TV; Dryer; Shower gel; Cleaning products; Dining table; Wine glasses; Hot water kettle; Freezer; Bathtub; Room-darkening shades; Body soap; Laundromat nearby; Lockbox; Backyard; Portable fans; Toaster; High chair; Central heating; Crib; Board games; Free dryer; Garden or backyard; Travel crib; Babysitter recommendations; Outlet covers; Netflix; Changing table; Safe; Baby safety gates; Sound system; ],3,2,2,4--May--2022,1
559408,219760,678034,6,353,Zuid,Private room,495,[Towels; Wifi; Bed linens; Smoke alarm; Heating; Hot water; Hair dryer; Hangers; Long term stays allowed; Shampoo; Iron; Carbon monoxide alarm; Fire extinguisher; First aid kit; Private entrance; TV; Extra pillows and blankets; Dryer; Luggage dropoff allowed; Shower gel; Cleaning products; Dedicated workspace; Hot water kettle; Room-darkening shades; Body soap; Lock on bedroom door; High chair; Air conditioning; Conditioner; Crib; Travel crib; Clothing storage; Safe; Gym; ],1,1,1,4--April--2022,1
560128,488113,668779,1,236,Bijlmer-Centrum,Entire home,107,[Towels; Wifi; Kitchen; Smoke alarm; Heating; Hot water; Hair dryer; Hangers; Dishes and silverware; Long term stays allowed; Refrigerator; Coffee maker; Iron; Washer; Private entrance; Microwave; TV; Dryer; Host greets you; Dedicated workspace; Dining table; Patio or balcony; Freezer; Nespresso machine; ],2,2,21,26--January--2022,0
