date,amount,currency,merchant,description,id,reportedBalance,,
04/04/2023,-10,USD,USPS STAMPS ENDICIA,,yYroB38B7PHPYm1ogX1KfAD7gmv8EOfgqq1mj,-1944.45,,
04/04/2023,89.72,USD,ACH transfer from AFTERPAY 1217,,Le3dQ0jQmwHmxOKYb0KVHZM1eRN7yBfByyK1Z,-1944.45,,
04/04/2023,302.07,USD,Shop Pay Installments payout,,nJPxERjEDbHKAJremwrbSdzoYJagX6tB6A5rr,-1944.45,,
04/04/2023,70.34,USD,Shopify Payments payout,,jr609vk9dbUAj1L9OvLDHJOwXkaw8gHvmMby0,-1944.45,,
04/04/2023,252.43,USD,ACH transfer from Sezzle,,royKwx8w7JcAmvrB71rDH34jPLkjDJIre5nxq,-1944.45,,
04/04/2023,-26.79,USD,INST XFER,,0J45qb1qEAHwdy4veA4EC137ZbJ7Ket9oED0P,-1944.45,,
04/04/2023,-1081.5,USD,CASH APP*VANKELIA H,,BenEoQPoNKHMr5w0N3w7UawrDYJ0v7U7nnq10,-1944.45,,
04/04/2023,-66,USD,USPS STAMPS ENDICIA,,KeB5RO0R9dHDOByEx9y7IxrKM0YREmfm44YrM,-1944.45,,
04/04/2023,-496.49,USD,WWW.EZENANA.COM,,k4L0VvAVwZIDne0YAN01INjm3LQvORtvNNwQk,-1944.45,,
03/04/2023,-12.99,USD,SHIPLEY DO-NUTS - FC6025,,XeJ0KBnKMAHXDqZbxEZ8tPjBez8zoNfzxzQbZ,-93.87,,
03/04/2023,-74.66,USD,EXPO WHOLESALE & IMPORT,,nJPxERjEDbHKAJremwrbSEdoqZQZR8Cj3j6ov,-93.87,,
03/04/2023,-49.17,USD,HIS*HISCOX INC,,NYK6wrnwQLHM1xAP67AQSnEpyXkXZ6CyOynw9,-93.87,,
03/04/2023,90.55,USD,ACH transfer from Sezzle,,OekL65n60DHBL7vQxYvYH93prDnYPjHg47QQP,-93.87,,
03/04/2023,-130,USD,USPS STAMPS ENDICIA,,pZBYQ08QdJtjDgAeOZAEc8nP6oyomAtAyArbw,-93.87,,
03/04/2023,149.09,USD,Shop Pay Installments payout,,Veav3yn3AKH6AvJrQEJEUpEYLzK308fjk0PPw,-93.87,,
03/04/2023,26.65,USD,Shopify Payments payout,,Ee6A71m7JvH8reD1XODNupYBvgazXqHdMJ3rE,-93.87,,
02/04/2023,483.07,USD,Shopify Payments payout,,4o87Kj3KErc1an8RB98Au3JnK7dXBAsRd980K,2089.98,,
02/04/2023,0,USD,Walmart,,jr609vk9dbUAj1L9OvLvUJAKQqny0DCvLnw81,2089.98,,
02/04/2023,-12.86,USD,Amazon,,xYjBqJ7q91H0YZ1V4Q1oCp68zQOq1MUmBMNYa,2089.98,,
02/04/2023,-15.01,USD,Shell,,royKwx8w7JcAmvrB71rOSm9Mq5VZvBTr1BxYE,2089.98,,
02/04/2023,62.33,USD,Shopify Payments payout,,4o87Kj3KErc1an8RB989C5Kw3RDvQ4cDXo7ME,2089.98,,
02/04/2023,-70,USD,USPS STAMPS ENDICIA,,JeqAEbvEOmHZOE37QN34TNOyqVknb7H0Ebr6J,2089.98,,
02/04/2023,-52.08,USD,Walmart,,aBVXx1LxbJI5PRMmyoMAcN0DP84B57HKrZLRw,2089.98,,
02/04/2023,-35.23,USD,Little Caesar's,,89m70RA01wU3BPmon9mLSX4zpYQVoNfYjyNp8,2089.98,,
02/04/2023,118.06,USD,Shopify Payments payout,,ZwZ3AenAv0tmb7oBNEoQSweJQ4vaRKs8pRNXy,2089.98,,
02/04/2023,80,USD,Shopify Payments payout,,5bZek5ykE4tPa3ZbODZdcJ0vOmrLyZtN5BeyZ,2089.98,,
02/04/2023,-24.06,USD,Walmart,,4o87Kj3KErc1an8RB98Au6YOMmjEa4UDdkyez,2089.98,,
01/04/2023,-8.65,USD,Chevron,,wV09Po8PjDCpKJvqYDv4S0R0Ky9yZNUK88a4z,2659.16,,
01/04/2023,-3.79,USD,Family Dollar,,NYK6wrnwQLHM1xAP67AOfOvO3y1ye0so99ZBa,2659.16,,
01/04/2023,-35.68,USD,Ross Dress for Less,,XeJ0KBnKMAHXDqZbxEZRh1516eEeqDhd55oBp,2659.16,,
01/04/2023,-31.08,USD,Amazon,,pZBYQ08QdJtjDgAeOZAqC7D736v6Ozc3ggv0d,2659.16,,
01/04/2023,-97.5,USD,PERFUMEWALLA,,zY4j3vV3oqHPYobyeAb9IZMZvDED4Pfv88gwe,2659.16,,
01/04/2023,-27.02,USD,Amazon,,mx1rMa0MgoIRwQyeXbyzcq8qBrKrQaUB66V5P,2659.16,,
01/04/2023,-10,USD,USPS STAMPS ENDICIA,,dKE4ZAPZgRip31o7X4owSEkEoPeP1DfKvvdnO,2659.16,,
01/04/2023,-40,USD,USPS STAMPS ENDICIA,,ekRv5gq5KJuoyOXe4rX6fA4A0vLvOxunzzwvw,2659.16,,
01/04/2023,-323.3,USD,S W TRADING/ACCSSRY PLZ,,6g5NAzKABasqx45D615zUNoNMvLv05Uwbb3JX,2659.16,,
01/04/2023,3.06,USD,Rewards credit: Mar 2023,,Re0P16n14qH7K6r3QYrefM4d8jJeQ5h4Xd9J5,2659.16,,
01/04/2023,-24.78,USD,Jimmy Johns,,Le3dQ0jQmwHmxOKYb0KwFZaZ8PXP6zfZ33pMV,2659.16,,
01/04/2023,-100,USD,USPS STAMPS ENDICIA,,Yd8xk9nkrvFpMo5xBE5rS8L89VvVoqtJ5506y,2659.16,,
01/04/2023,111.71,USD,Shopify Payments payout,,35JvyxByOmIEpRJ4e6Jmi1vrLLB8R7CoQMm6B,2659.16,,
31/03/2023,28.34,USD,Shopify Payments payout,,mx1rMa0MgoIRwQyeXbyDIv7DjVv94nI8EKZep,2132.56,,
31/03/2023,-69.91,USD,Walmart,,ekRv5gq5KJuoyOXe4rXdiBjwNMBo3gI49RN7m,2132.56,,
31/03/2023,-323,USD,EXPO WHOLESALE & IMPORT,,Yd8xk9nkrvFpMo5xBE5NFmOEaMmKXZHz7oEdo,2132.56,,
